measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Sweden,Female,70 to 74,Self-harm,Percent,2017,0.007462773125482796,0.008891846503655761,0.006193265708698564
Deaths,Sweden,Male,70 to 74,Self-harm,Rate,2017,23.512541083041775,27.905291603623528,19.71832040454243
Deaths,Sweden,Female,70 to 74,Self-harm,Rate,2017,10.409432291450573,12.671053290654802,8.56084515738447
Deaths,Sweden,Male,75 to 79,Self-harm,Number,2017,50.80206452919876,59.911904527756036,43.065157526910575
Deaths,Sweden,Female,75 to 79,Self-harm,Number,2017,17.34201538411041,21.18938166458514,13.99885353121447
Deaths,Sweden,Male,75 to 79,Self-harm,Percent,2017,0.007983776240931979,0.00921699406637782,0.0068212608130867125
Deaths,Sweden,Female,75 to 79,Self-harm,Percent,2017,0.0035898508983154675,0.0043365018897718235,0.002948660649689061
Deaths,Sweden,Male,75 to 79,Self-harm,Rate,2017,28.404574761511785,33.49809081646867,24.078696366490085
Deaths,Sweden,Female,75 to 79,Self-harm,Rate,2017,8.746778335258155,10.687271368189773,7.060590483472225
Deaths,Sweden,Male,80 to 84,Self-harm,Number,2017,34.902675463787205,40.9140527572338,29.572523408757725
Deaths,Sweden,Female,80 to 84,Self-harm,Number,2017,14.036683783603229,16.781736892541762,11.657740531042222
Deaths,Sweden,Male,80 to 84,Self-harm,Percent,2017,0.004743178645563773,0.005488495506550069,0.004018081022590611
Deaths,Sweden,Female,80 to 84,Self-harm,Percent,2017,0.0020306223828720103,0.002417967583704408,0.0017019801320590003
Deaths,Sweden,Male,80 to 84,Self-harm,Rate,2017,31.545489337595058,36.978649855946436,26.728028997222385
Deaths,Sweden,Female,80 to 84,Self-harm,Rate,2017,9.850727309120167,11.777163071446987,8.18122177447072
Deaths,Sweden,Male,85 to 89,Self-harm,Number,2017,27.219073710203027,32.74558389135251,22.893716094418856
Deaths,Sweden,Female,85 to 89,Self-harm,Number,2017,13.066289492448428,15.460304044423038,10.977558520049541
Deaths,Sweden,Male,85 to 89,Self-harm,Percent,2017,0.0035012675847076583,0.004213321727394139,0.002944592104783241
Deaths,Sweden,Female,85 to 89,Self-harm,Percent,2017,0.001341564725960354,0.0015798513746149124,0.0011406189057361527
Deaths,Sweden,Male,85 to 89,Self-harm,Rate,2017,43.43624644568702,52.255461264265605,36.533833036427374
Deaths,Sweden,Female,85 to 89,Self-harm,Rate,2017,12.93480346770993,15.304727059753844,10.867091387665104
Deaths,Sweden,Male,90 to 94,Self-harm,Number,2017,14.364163793007918,16.97573283083813,12.021426856187336
Deaths,Sweden,Female,90 to 94,Self-harm,Number,2017,8.522171353708329,9.922283110055636,7.2710035513101685
Deaths,Sweden,Male,90 to 94,Self-harm,Percent,2017,0.0026355364927833995,0.003081947193080423,0.002235460994856416
Deaths,Sweden,Female,90 to 94,Self-harm,Percent,2017,0.0008998497094704076,0.0010393193993090838,0.0007776529928831608
Deaths,Sweden,Male,90 to 94,Self-harm,Rate,2017,60.35511497990944,71.328364229054,50.511440177320885
Deaths,Sweden,Female,90 to 94,Self-harm,Rate,2017,16.71142696920446,19.45695559023381,14.257967810946788
Deaths,Sweden,Male,95 plus,Self-harm,Number,2017,4.002371930073837,4.569671590591247,3.51578962053147
Deaths,Sweden,Female,95 plus,Self-harm,Number,2017,4.031126418777612,4.6662082871069215,3.5454781065590963
Deaths,Sweden,Male,95 plus,Self-harm,Percent,2017,0.001978489477772913,0.002247011106372227,0.0017395050393365322
Deaths,Sweden,Female,95 plus,Self-harm,Percent,2017,0.0007148460586650853,0.0008256139739313694,0.0006280995698024049
Deaths,Sweden,Male,95 plus,Self-harm,Rate,2017,78.26566507975872,89.3591081694161,68.75063530798138
Deaths,Sweden,Female,95 plus,Self-harm,Rate,2017,24.242322105136516,28.061567054502202,21.321738230670164
Deaths,Sweden,Male,1 to 4,Road injuries,Number,2017,1.6139435857445665,2.222201998010289,1.1075350767545074
Deaths,Sweden,Female,1 to 4,Road injuries,Number,2017,1.051689394698642,1.409416585022453,0.7259296921738527
Deaths,Sweden,Male,1 to 4,Road injuries,Percent,2017,0.053703310909151036,0.07276658868985357,0.03691752054883818
Deaths,Sweden,Female,1 to 4,Road injuries,Percent,2017,0.04305964074980616,0.055844046838549315,0.030073294716449157
Deaths,Sweden,Male,1 to 4,Road injuries,Rate,2017,0.6595119922779328,0.908066973280016,0.452576330077289
Deaths,Sweden,Female,1 to 4,Road injuries,Rate,2017,0.4555245497422992,0.6104690781593857,0.31442629148772133
Deaths,Sweden,Male,5 to 9,Road injuries,Number,2017,2.292883524632902,3.049834991723229,1.6918643850600479
Deaths,Sweden,Female,5 to 9,Road injuries,Number,2017,1.6918882002285616,2.186097967052798,1.2663166234573713
Deaths,Sweden,Male,5 to 9,Road injuries,Percent,2017,0.08693003150250131,0.1134709498778663,0.06609174832649437
Deaths,Sweden,Female,5 to 9,Road injuries,Percent,2017,0.08456626012861276,0.1091817004030774,0.06433095841137795
Deaths,Sweden,Male,5 to 9,Road injuries,Rate,2017,0.7365701445946305,0.9797346340141752,0.5434976444944821
Deaths,Sweden,Female,5 to 9,Road injuries,Rate,2017,0.5753535787362676,0.7434174956962235,0.4306311735143023
Deaths,Sweden,Male,10 to 14,Road injuries,Number,2017,2.353396021452868,3.2258095656357715,1.8064686336511988
Deaths,Sweden,Female,10 to 14,Road injuries,Number,2017,2.721228120994129,3.453190787911411,2.0330601300205813
Deaths,Sweden,Male,10 to 14,Road injuries,Percent,2017,0.12895058640684542,0.17646598208542816,0.10005403301924358
Deaths,Sweden,Female,10 to 14,Road injuries,Percent,2017,0.10548081429461677,0.133259038665126,0.07886676766362771
Deaths,Sweden,Male,10 to 14,Road injuries,Rate,2017,0.7960561975341902,1.0911574904440111,0.6110533621882211
Deaths,Sweden,Female,10 to 14,Road injuries,Rate,2017,0.9737579329616879,1.2356817489195033,0.7275055018439351
Deaths,Sweden,Male,15 to 19,Road injuries,Number,2017,15.675175668896918,19.09665345496916,12.893721219706444
Deaths,Sweden,Female,15 to 19,Road injuries,Number,2017,4.5854695804964605,5.651616447296099,3.6111077016095314
Deaths,Sweden,Male,15 to 19,Road injuries,Percent,2017,0.21203577798111373,0.2514729528876019,0.17694749136691468
Deaths,Sweden,Female,15 to 19,Road injuries,Percent,2017,0.14028991883341843,0.17266378342946645,0.11177455263963824
Deaths,Sweden,Male,15 to 19,Road injuries,Rate,2017,5.649891692049325,6.88311416600333,4.647356427613537
Deaths,Sweden,Female,15 to 19,Road injuries,Rate,2017,1.7913474985337956,2.2078456323420292,1.4107058469492701
Deaths,Sweden,Male,20 to 24,Road injuries,Number,2017,24.153159313101945,29.40963892039533,19.443125810608006
Deaths,Sweden,Female,20 to 24,Road injuries,Number,2017,6.650266859580501,8.257549238598846,5.197200596643793
Deaths,Sweden,Male,20 to 24,Road injuries,Percent,2017,0.1455333576789624,0.17452607507919293,0.11852867941848381
Deaths,Sweden,Female,20 to 24,Road injuries,Percent,2017,0.0935979030384189,0.11437110072114062,0.0744834193035272
Deaths,Sweden,Male,20 to 24,Road injuries,Rate,2017,7.695476968564877,9.370252397703656,6.194805612501362
Deaths,Sweden,Female,20 to 24,Road injuries,Rate,2017,2.26932393976786,2.8177898070313363,1.773482475631593
Deaths,Sweden,Male,25 to 29,Road injuries,Number,2017,24.540654022723416,29.867392237005664,20.09837783036598
Deaths,Sweden,Female,25 to 29,Road injuries,Number,2017,5.443399645937267,6.796080356369621,4.256471335827577
Deaths,Sweden,Male,25 to 29,Road injuries,Percent,2017,0.09486940883650198,0.11318810463812781,0.079409994742515
Deaths,Sweden,Female,25 to 29,Road injuries,Percent,2017,0.05887178579588956,0.07357449187504672,0.0469776097403774
Deaths,Sweden,Male,25 to 29,Road injuries,Rate,2017,6.584719423572046,8.013983556116766,5.392773100478843
Deaths,Sweden,Female,25 to 29,Road injuries,Rate,2017,1.5433410556897391,1.9268601451264216,1.206816951213976
Deaths,Sweden,Male,30 to 34,Road injuries,Number,2017,18.21076606907979,22.32811688593368,14.696797320919957
Deaths,Sweden,Female,30 to 34,Road injuries,Number,2017,3.758178562294097,4.791436849222353,2.932043462975331
Deaths,Sweden,Male,30 to 34,Road injuries,Percent,2017,0.07033289328967203,0.08588865798766121,0.05743053068401669
Deaths,Sweden,Female,30 to 34,Road injuries,Percent,2017,0.0347403716349618,0.043590104693754565,0.027200226850692677
Deaths,Sweden,Male,30 to 34,Road injuries,Rate,2017,5.4275870994194895,6.654733727549766,4.38027413230282
Deaths,Sweden,Female,30 to 34,Road injuries,Rate,2017,1.1816315536062234,1.5065045139038449,0.9218814420253695
Deaths,Sweden,Male,35 to 39,Road injuries,Number,2017,15.219046902909222,18.51790980615852,12.369376041644117
Deaths,Sweden,Female,35 to 39,Road injuries,Number,2017,3.1053145620407454,3.9048140794728687,2.403174787155443
Deaths,Sweden,Male,35 to 39,Road injuries,Percent,2017,0.05617427088247194,0.06740957588621987,0.04615289776868251
Deaths,Sweden,Female,35 to 39,Road injuries,Percent,2017,0.024417573773400102,0.03022974626643111,0.019298049171601453
Deaths,Sweden,Male,35 to 39,Road injuries,Rate,2017,4.787131072979715,5.8247840357697935,3.8907708728465997
Deaths,Sweden,Female,35 to 39,Road injuries,Rate,2017,1.0220705387761397,1.2852145411654217,0.7909711239904254
Deaths,Sweden,Male,40 to 44,Road injuries,Number,2017,14.867126343862228,18.090863392939347,12.308367339702297
Deaths,Sweden,Female,40 to 44,Road injuries,Number,2017,3.7018427449919984,4.64912273641305,2.8784264346078317
Deaths,Sweden,Male,40 to 44,Road injuries,Percent,2017,0.0415943100260938,0.04971118516548007,0.034819898555068785
Deaths,Sweden,Female,40 to 44,Road injuries,Percent,2017,0.01758896630619836,0.021661447599639953,0.014047009221386363
Deaths,Sweden,Male,40 to 44,Road injuries,Rate,2017,4.586177613019692,5.580628749223512,3.7968574047579526
Deaths,Sweden,Female,40 to 44,Road injuries,Rate,2017,1.1830302779496564,1.4857608337149077,0.9198839225676237
Deaths,Sweden,Male,45 to 49,Road injuries,Number,2017,15.618600217963499,18.940846719312944,12.802519806879872
Deaths,Sweden,Female,45 to 49,Road injuries,Number,2017,4.109067240046347,5.13310441912162,3.32507691542313
Deaths,Sweden,Male,45 to 49,Road injuries,Percent,2017,0.027688863296012393,0.033198962795395984,0.022934129378857433
Deaths,Sweden,Female,45 to 49,Road injuries,Percent,2017,0.011156640159967446,0.013812084800098483,0.009193881677716561
Deaths,Sweden,Male,45 to 49,Road injuries,Rate,2017,4.72173439128056,5.726098760866704,3.870391534682429
Deaths,Sweden,Female,45 to 49,Road injuries,Rate,2017,1.274676459533284,1.5923437084730687,1.0314743036864005
Deaths,Sweden,Male,50 to 54,Road injuries,Number,2017,16.682973948876167,20.476679605195038,13.58642569041985
Deaths,Sweden,Female,50 to 54,Road injuries,Number,2017,4.566412867254445,5.663659534817972,3.671428002153915
Deaths,Sweden,Male,50 to 54,Road injuries,Percent,2017,0.018200235399760328,0.021873765534117653,0.015185504997326425
Deaths,Sweden,Female,50 to 54,Road injuries,Percent,2017,0.00771760750930016,0.009479228766116723,0.00632046996600616
Deaths,Sweden,Male,50 to 54,Road injuries,Rate,2017,4.814365175226773,5.909151060094304,3.9207646610375453
Deaths,Sweden,Female,50 to 54,Road injuries,Rate,2017,1.3629643324083094,1.6904660531719293,1.0958328914637876
Deaths,Sweden,Male,55 to 59,Road injuries,Number,2017,16.067679289031382,19.642862859906916,13.325114909850338
Deaths,Sweden,Female,55 to 59,Road injuries,Number,2017,5.26997067124526,6.541158778558756,4.205040084718294
Deaths,Sweden,Male,55 to 59,Road injuries,Percent,2017,0.012190852920284698,0.014436264098557432,0.010157970304857399
Deaths,Sweden,Female,55 to 59,Road injuries,Percent,2017,0.0057629564717135975,0.007030424258988265,0.0046689837591923
Deaths,Sweden,Male,55 to 59,Road injuries,Rate,2017,5.4427732924488295,6.653832668549683,4.513755735693244
Deaths,Sweden,Female,55 to 59,Road injuries,Rate,2017,1.8170434845571568,2.255338915809481,1.4498639868964582
Deaths,Sweden,Male,60 to 64,Road injuries,Number,2017,16.52503636877805,19.967763817026867,13.724636184871663
Deaths,Sweden,Female,60 to 64,Road injuries,Number,2017,6.172227429362263,7.483731089857697,5.082768624791394
Deaths,Sweden,Male,60 to 64,Road injuries,Percent,2017,0.007378502710274188,0.008827561638755197,0.006196094627280374
Deaths,Sweden,Female,60 to 64,Road injuries,Percent,2017,0.004141351034043115,0.00499749118534201,0.0034532339862754194
Deaths,Sweden,Male,60 to 64,Road injuries,Rate,2017,5.861008175608918,7.0820556377920045,4.867777782248782
Deaths,Sweden,Female,60 to 64,Road injuries,Rate,2017,2.186939999253991,2.6516312062988083,1.8009235952049176
Deaths,Sweden,Male,65 to 69,Road injuries,Number,2017,18.70671322956781,22.182153412575865,15.52616200535356
Deaths,Sweden,Female,65 to 69,Road injuries,Number,2017,8.07523373700442,9.770216003985983,6.605777654993937
Deaths,Sweden,Male,65 to 69,Road injuries,Percent,2017,0.005162075658993131,0.006047658138390298,0.004326572661816371
Deaths,Sweden,Female,65 to 69,Road injuries,Percent,2017,0.003317555681797602,0.0039891811526726285,0.002748014578250236
Deaths,Sweden,Male,65 to 69,Road injuries,Rate,2017,6.766590724200124,8.023726652690437,5.616122004895943
Deaths,Sweden,Female,65 to 69,Road injuries,Rate,2017,2.8467121205207633,3.4442337181152953,2.3286938717036105
Deaths,Sweden,Male,70 to 74,Road injuries,Number,2017,19.944368940436764,23.927250451128828,16.52579426232502
Deaths,Sweden,Female,70 to 74,Road injuries,Number,2017,9.939490846515133,12.208008083786961,7.960287916827291
Deaths,Sweden,Male,70 to 74,Road injuries,Percent,2017,0.0036172818247738633,0.00432587788698677,0.0030149550952215296
Deaths,Sweden,Female,70 to 74,Road injuries,Percent,2017,0.0025067325408291,0.003053387386110421,0.0020163502524456305
Deaths,Sweden,Male,70 to 74,Road injuries,Rate,2017,7.30778461084801,8.767145912155218,6.055190081617828
Deaths,Sweden,Female,70 to 74,Road injuries,Rate,2017,3.496282671418298,4.294248847851566,2.800084746077472
Deaths,Sweden,Male,75 to 79,Road injuries,Number,2017,18.829469212355303,22.78973003494236,15.620611885886317
Deaths,Sweden,Female,75 to 79,Road injuries,Number,2017,9.957658731802399,12.127331132916638,8.106775586993928
Deaths,Sweden,Male,75 to 79,Road injuries,Percent,2017,0.002959542538681365,0.0036066526263013087,0.002491271733072019
Deaths,Sweden,Female,75 to 79,Road injuries,Percent,2017,0.002061416053066001,0.0024976396548260266,0.0016996581351989921
Deaths,Sweden,Male,75 to 79,Road injuries,Rate,2017,10.527978949645366,12.74224968160758,8.733834781029424
Deaths,Sweden,Female,75 to 79,Road injuries,Rate,2017,5.022336316517539,6.116652238417924,4.088807875126653
Deaths,Sweden,Male,<1 year,Road injuries,Number,2017,0.5508215106471185,0.7580683505198357,0.3648532081782022
Deaths,Sweden,Female,<1 year,Road injuries,Number,2017,0.31092599970663504,0.4251889497102495,0.20015052242726125
Deaths,Sweden,Male,<1 year,Road injuries,Percent,2017,0.0036143082362794132,0.0047220162322925896,0.0024188409912813346
Deaths,Sweden,Female,<1 year,Road injuries,Percent,2017,0.002661535792433059,0.003489609339805853,0.001714227882738171
Deaths,Sweden,Male,<1 year,Road injuries,Rate,2017,0.899717368800575,1.2382364314338645,0.5959548821448295
Deaths,Sweden,Female,<1 year,Road injuries,Rate,2017,0.5389949525111789,0.7370715153238541,0.3469639767422354
Deaths,Sweden,Male,80 to 84,Road injuries,Number,2017,14.420759812539734,17.508930001578598,11.773463725499667
Deaths,Sweden,Female,80 to 84,Road injuries,Number,2017,9.291186580665228,11.331814454111106,7.51464290155079
Deaths,Sweden,Male,80 to 84,Road injuries,Percent,2017,0.001959589047252394,0.002367065564593088,0.0016088393736236103
Deaths,Sweden,Female,80 to 84,Road injuries,Percent,2017,0.0013443649642354448,0.0016322043927613464,0.0011008161721475609
Deaths,Sweden,Male,80 to 84,Road injuries,Rate,2017,13.03366916322725,15.82479730674389,10.641008733117106
Deaths,Sweden,Female,80 to 84,Road injuries,Rate,2017,6.520410860234921,7.95249190092821,5.27366001755083
Deaths,Sweden,Male,85 to 89,Road injuries,Number,2017,13.258584100619125,16.119788680389156,10.898326507312733
Deaths,Sweden,Female,85 to 89,Road injuries,Number,2017,9.034478547925959,11.327621046551922,7.205872073898266
Deaths,Sweden,Male,85 to 89,Road injuries,Percent,2017,0.001705901171264984,0.0020884545578656456,0.0013933170420148797
Deaths,Sweden,Female,85 to 89,Road injuries,Percent,2017,0.0009276366795543632,0.0011555039918417084,0.000745189375049394
Deaths,Sweden,Male,85 to 89,Road injuries,Rate,2017,21.158072190365637,25.723987569471035,17.39156890705476
Deaths,Sweden,Female,85 to 89,Road injuries,Rate,2017,8.943564622397309,11.21363123620705,7.133359408820799
Deaths,Sweden,Male,90 to 94,Road injuries,Number,2017,7.435646298839916,9.109088353261992,6.0720589168819625
Deaths,Sweden,Female,90 to 94,Road injuries,Number,2017,7.202632375084549,8.664635117118742,5.933273801221983
Deaths,Sweden,Male,90 to 94,Road injuries,Percent,2017,0.0013642594974868436,0.0016594120003447475,0.001111233864165497
Deaths,Sweden,Female,90 to 94,Road injuries,Percent,2017,0.0007605572801971108,0.000910974657500508,0.0006277173991265588
Deaths,Sweden,Male,90 to 94,Road injuries,Rate,2017,31.24298036303896,38.274422573132966,25.513480587821455
Deaths,Sweden,Female,90 to 94,Road injuries,Rate,2017,14.1238963553434,16.990789197347784,11.63476627048455
Deaths,Sweden,Male,95 plus,Road injuries,Number,2017,2.4679304148670447,3.0238445488200716,1.9986887351327722
Deaths,Sweden,Female,95 plus,Road injuries,Number,2017,4.127462956558602,4.986110948649077,3.3834783008364067
Deaths,Sweden,Male,95 plus,Road injuries,Percent,2017,0.0012200608630830272,0.001485715262806651,0.0009894808679080404
Deaths,Sweden,Female,95 plus,Road injuries,Percent,2017,0.0007319462666510722,0.0008829044093532675,0.0006007018991753286
Deaths,Sweden,Male,95 plus,Road injuries,Rate,2017,48.25993652383292,59.13073768405119,39.08399965709889
Deaths,Sweden,Female,95 plus,Road injuries,Rate,2017,24.82166919990921,29.985392446648316,20.347506449447618
Deaths,Australia,Male,1 to 4,Road injuries,Number,2017,12.72380980632358,17.636025758808046,8.93255009981861
Deaths,Australia,Female,1 to 4,Road injuries,Number,2017,9.380731318194949,12.392437900533764,6.918903211533244
Deaths,Australia,Male,1 to 4,Road injuries,Percent,2017,0.11424906970425376,0.14511550837008574,0.0891822004580804
Deaths,Australia,Female,1 to 4,Road injuries,Percent,2017,0.11069597824926607,0.1369997289388953,0.08588615283857234
Deaths,Australia,Male,1 to 4,Road injuries,Rate,2017,2.046848299376296,2.837064517754135,1.4369575826118164
Deaths,Australia,Female,1 to 4,Road injuries,Rate,2017,1.5947702738225733,2.106775145092455,1.1762474368930071
Deaths,Australia,Male,5 to 9,Road injuries,Number,2017,13.143801180071573,17.017195907012056,9.943765082302752
Deaths,Australia,Female,5 to 9,Road injuries,Number,2017,8.459845402252684,10.725657963797492,6.372144209798192
Deaths,Australia,Male,5 to 9,Road injuries,Percent,2017,0.18021682547579182,0.22282242416237488,0.14175893496336384
Deaths,Australia,Female,5 to 9,Road injuries,Percent,2017,0.14478771613204364,0.18031940623386009,0.11109887184491904
